20160101;2016-01-01;Friday;January;Jan;1;2016;Q1;Jan-16
20160102;2016-01-02;Saturday;January;Jan;1;2016;Q1;Jan-16
20160103;2016-01-03;Sunday;January;Jan;1;2016;Q1;Jan-16
20160104;2016-01-04;Monday;January;Jan;1;2016;Q1;Jan-16
20160105;2016-01-05;Tuesday;January;Jan;1;2016;Q1;Jan-16
20160106;2016-01-06;Wednesday;January;Jan;1;2016;Q1;Jan-16
20160107;2016-01-07;Thursday;January;Jan;1;2016;Q1;Jan-16
20160108;2016-01-08;Friday;January;Jan;1;2016;Q1;Jan-16
20160109;2016-01-09;Saturday;January;Jan;1;2016;Q1;Jan-16
20160110;2016-01-10;Sunday;January;Jan;1;2016;Q1;Jan-16
20160111;2016-01-11;Monday;January;Jan;1;2016;Q1;Jan-16
20160112;2016-01-12;Tuesday;January;Jan;1;2016;Q1;Jan-16
20160113;2016-01-13;Wednesday;January;Jan;1;2016;Q1;Jan-16
20160114;2016-01-14;Thursday;January;Jan;1;2016;Q1;Jan-16
20160115;2016-01-15;Friday;January;Jan;1;2016;Q1;Jan-16
20160116;2016-01-16;Saturday;January;Jan;1;2016;Q1;Jan-16
20160117;2016-01-17;Sunday;January;Jan;1;2016;Q1;Jan-16
20160118;2016-01-18;Monday;January;Jan;1;2016;Q1;Jan-16
20160119;2016-01-19;Tuesday;January;Jan;1;2016;Q1;Jan-16
20160120;2016-01-20;Wednesday;January;Jan;1;2016;Q1;Jan-16
20160121;2016-01-21;Thursday;January;Jan;1;2016;Q1;Jan-16
20160122;2016-01-22;Friday;January;Jan;1;2016;Q1;Jan-16
20160123;2016-01-23;Saturday;January;Jan;1;2016;Q1;Jan-16
20160124;2016-01-24;Sunday;January;Jan;1;2016;Q1;Jan-16
20160125;2016-01-25;Monday;January;Jan;1;2016;Q1;Jan-16
20160126;2016-01-26;Tuesday;January;Jan;1;2016;Q1;Jan-16
20160127;2016-01-27;Wednesday;January;Jan;1;2016;Q1;Jan-16
20160128;2016-01-28;Thursday;January;Jan;1;2016;Q1;Jan-16
20160129;2016-01-29;Friday;January;Jan;1;2016;Q1;Jan-16
20160130;2016-01-30;Saturday;January;Jan;1;2016;Q1;Jan-16
20160131;2016-01-31;Sunday;January;Jan;1;2016;Q1;Jan-16
20160201;2016-02-01;Monday;February;Feb;2;2016;Q1;Feb-16
20160202;2016-02-02;Tuesday;February;Feb;2;2016;Q1;Feb-16
20160203;2016-02-03;Wednesday;February;Feb;2;2016;Q1;Feb-16
20160204;2016-02-04;Thursday;February;Feb;2;2016;Q1;Feb-16
20160205;2016-02-05;Friday;February;Feb;2;2016;Q1;Feb-16
20160206;2016-02-06;Saturday;February;Feb;2;2016;Q1;Feb-16
20160207;2016-02-07;Sunday;February;Feb;2;2016;Q1;Feb-16
20160208;2016-02-08;Monday;February;Feb;2;2016;Q1;Feb-16
20160209;2016-02-09;Tuesday;February;Feb;2;2016;Q1;Feb-16
20160210;2016-02-10;Wednesday;February;Feb;2;2016;Q1;Feb-16
20160211;2016-02-11;Thursday;February;Feb;2;2016;Q1;Feb-16
20160212;2016-02-12;Friday;February;Feb;2;2016;Q1;Feb-16
20160213;2016-02-13;Saturday;February;Feb;2;2016;Q1;Feb-16
20160214;2016-02-14;Sunday;February;Feb;2;2016;Q1;Feb-16
20160215;2016-02-15;Monday;February;Feb;2;2016;Q1;Feb-16
20160216;2016-02-16;Tuesday;February;Feb;2;2016;Q1;Feb-16
20160217;2016-02-17;Wednesday;February;Feb;2;2016;Q1;Feb-16
20160218;2016-02-18;Thursday;February;Feb;2;2016;Q1;Feb-16
20160219;2016-02-19;Friday;February;Feb;2;2016;Q1;Feb-16
20160220;2016-02-20;Saturday;February;Feb;2;2016;Q1;Feb-16
20160221;2016-02-21;Sunday;February;Feb;2;2016;Q1;Feb-16
20160222;2016-02-22;Monday;February;Feb;2;2016;Q1;Feb-16
20160223;2016-02-23;Tuesday;February;Feb;2;2016;Q1;Feb-16
20160224;2016-02-24;Wednesday;February;Feb;2;2016;Q1;Feb-16
20160225;2016-02-25;Thursday;February;Feb;2;2016;Q1;Feb-16
20160226;2016-02-26;Friday;February;Feb;2;2016;Q1;Feb-16
20160227;2016-02-27;Saturday;February;Feb;2;2016;Q1;Feb-16
20160228;2016-02-28;Sunday;February;Feb;2;2016;Q1;Feb-16
20160229;2016-02-29;Monday;February;Feb;2;2016;Q1;Feb-16
20160301;2016-03-01;Tuesday;March;Mar;3;2016;Q1;Mar-16
20160302;2016-03-02;Wednesday;March;Mar;3;2016;Q1;Mar-16
20160303;2016-03-03;Thursday;March;Mar;3;2016;Q1;Mar-16
20160304;2016-03-04;Friday;March;Mar;3;2016;Q1;Mar-16
20160305;2016-03-05;Saturday;March;Mar;3;2016;Q1;Mar-16
20160306;2016-03-06;Sunday;March;Mar;3;2016;Q1;Mar-16
